audio_file_path	task_id	native_language
sample/015706-1991402.wav	432	Icelandic
sample/021370-1455044.wav	215	Czech
sample/031263-3296966.wav	215	enska
sample/031297-3299271.wav	452	katalonska
sample/031234-3295622.wav	452	islenska
sample/031295-3299091.wav	254	Russia
sample/031293-3298998.wav	254	English
sample/025754-2086119.wav	254	Icelandic
sample/024836-2109143.wav	254	Icelandic
sample/024578-1878429.wav	419	English
sample/021367-1454454.wav	219	Spanish
sample/024897-1955981.wav	219	Icelandic
