audio_file_path	task_id	native_language
demo/sample/015706-1991402.wav	432	Icelandic
demo/sample/031263-3296966.wav	215	enska
demo/sample/031295-3299091.wav	254	Russia
demo/sample/031293-3298998.wav	254	English
demo/sample/025754-2086119.wav	254	Icelandic
demo/sample/024836-2109143.wav	254	Icelandic
demo/sample/031297-3299271.wav	452	katalonska
demo/sample/031234-3295622.wav	452	islenska
demo/sample/031298-3299531.wav	234	Hungarian
demo/sample/031233-3295290.wav	234	Icelandic
demo/sample/024578-1878429.wav	419	English
demo/sample/021367-1454454.wav	219	Spanish
demo/sample/024897-1955981.wav	219	Icelandic
