id	speaker_id	filename	sentence	gender	age	native_language	dialect	created_at	is_valid	empty	duration	sample_rate	size	user_agent
3295332	031233	031233-3295332.wav	f	female	60-69	Icelandic	NAN	2023-07-01 14:07:15	NAN	0.0	1.71828	44100.0	151596.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:107.0) Gecko/20100101 Firefox/107.0
3295636	031234	031234-3295636.wav	f	male	20-29	Icelandic	NAN	2023-07-02 13:26:32	NAN	0.0	1.152	48000.0	110636.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.67
3295860	031237	031237-3295860.wav	f	male	30-39	Icelandic	NAN	2023-07-03 08:37:48	NAN	0.0	2.048	16000.0	65580.0	Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36
3297920	031283	031283-3297920.wav	f	male	20-29	Icelandic	NAN	2023-07-07 00:38:51	NAN	0.0	1.74933	48000.0	167980.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.67
3299680	031299	031299-3299680.wav	f	female	40-49	Icelandic	NAN	2023-07-18 22:06:04	NAN	0.0	2.64533	48000.0	253996.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36
3301994	031365	031365-3301994.wav	f	female	40-49	Icelandic	NAN	2023-10-03 12:41:12	NAN	0.0	1.49333	48000.0	143404.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/117.0.0.0 Safari/537.36 Edg/117.0.2045.47
3296031	031239	031239-3296031.wav	f	female	60-69	Danish	NAN	2023-07-03 10:17:30	NAN	0.0	1.408	16000.0	45100.0	Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/113.0.0.0 Mobile Safari/537.36
3297401	031269	031269-3297401.wav	f	female	40-49	Spanish	NAN	2023-07-06 10:41:16	NAN	0.0	2.09067	48000.0	200748.0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20F75 [FBAN/FBIOS;FBDV/iPhone15,2;FBMD/iPhone;FBSN/iOS;FBSV/16.5.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]
3297830	031281	031281-3297830.wav	f	female	40-49	German	NAN	2023-07-06 20:22:16	NAN	0.0	1.67184	44100.0	147500.0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_1_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20B110 [FBAN/FBIOS;FBDV/iPhone12,8;FBMD/iPhone;FBSN/iOS;FBSV/16.1.2;FBSS/2;FBID/phone;FBLC/de_DE;FBOP/5]
3298269	031284	031284-3298269.wav	f	male	20-29	English	NAN	2023-07-07 04:22:20	NAN	0.0	1.536	48000.0	147500.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.67
3299024	031293	031293-3299024.wav	f	female	30-39	English	NAN	2023-07-08 22:05:16	NAN	0.0	2.432	16000.0	77868.0	Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Mobile Safari/537.36
3299654	031298	031298-3299654.wav	f	male	20-29	Hungarian	NAN	2023-07-13 09:42:01	NAN	0.0	1.152	48000.0	110636.0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_2 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/20C65 [FBAN/FBIOS;FBDV/iPhone10,4;FBMD/iPhone;FBSN/iOS;FBSV/16.2;FBSS/2;FBID/phone;FBLC/hu_HU;FBOP/5]
3299953	031311	031311-3299953.wav	f	female	20-29	German	NAN	2023-09-11 15:51:30	NAN	0.0	2.048	48000.0	196652.0	Mozilla/5.0 (iPhone; CPU iPhone OS 16_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Mobile/15E148 Safari/604.1
3300710	031331	031331-3300710.wav	f	male	20-29	English	NAN	2023-09-12 19:46:26	NAN	0.0	1.408	48000.0	135212.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 Edg/116.0.1938.76
3300772	031333	031333-3300772.wav	f	female	40-49	English	NAN	2023-09-13 09:20:58	NAN	0.0	1.67184	44100.0	147500.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/16.6 Safari/605.1.15
3300842	031335	031335-3300842.wav	f	female	20-29	German	NAN	2023-09-13 14:51:04	NAN	0.0	1.152	48000.0	110636.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36
3301291	031344	031344-3301291.wav	f	female	40-49	Greek	NAN	2023-09-15 18:47:41	NAN	0.0	1.62133	48000.0	155692.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36
3302498	031372	031372-3302498.wav	f	other	40-49	English	NAN	2023-10-23 12:18:59	NAN	0.0	1.81116	44100.0	159788.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:109.0) Gecko/20100101 Firefox/118.0
3302829	031378	031378-3302829.wav	f	male	20-29	English	NAN	2023-10-23 19:50:19	NAN	0.0	1.28	48000.0	122924.0	Mozilla/5.0 (iPhone; CPU iPhone OS 17_0_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/17.0.1 Mobile/15E148 Safari/604.1
3302864	031379	031379-3302864.wav	f	male	20-29	English	NAN	2023-10-23 19:56:01	NAN	0.0	2.38933	48000.0	229420.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36
3295225	031233	031233-3295225.wav	g	female	60-69	Icelandic	NAN	2023-07-01 10:47:02	NAN	0.0	2.55419	44100.0	225324.0	Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:107.0) Gecko/20100101 Firefox/107.0
3295569	031234	031234-3295569.wav	g	male	20-29	Icelandic	NAN	2023-07-02 13:19:41	NAN	0.0	1.49333	48000.0	143404.0	Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/114.0.0.0 Safari/537.36 Edg/114.0.1823.67
